Accident_Index,Accident Date,Day_of_Week,Junction_Control,Junction_Detail,Accident_Severity,Latitude,Light_Conditions,Local_Authority_(District),Carriageway_Hazards,Longitude,Number_of_Casualties,Number_of_Vehicles,Police_Force,Road_Surface_Conditions,Road_Type,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type
A20210100010,11/01/2021,Monday,Give way or uncontrolled,Not at junction or within 20 metres,Moderate,51.449875,Darkness - lights lit,Camden,None,-0.189904,3,4,Metropolitan Police,Dry,Dual carriageway,93,19:30,Suburban,Fine no high winds,Taxi/Private hire car
A20210100011,12/01/2021,Tuesday,Stop sign,T or staggered junction,Slight,51.436631,Daylight,Kensington and Chelsea,None,-0.122458,1,1,Metropolitan Police,Wet or damp,Dual carriageway,45,07:45,Urban,Fine no high winds,Bus
A20210100012,13/01/2021,Wednesday,Auto traffic signal,T or staggered junction,Moderate,51.415092,Daylight,Hammersmith and Fulham,None,-0.203312,3,4,Metropolitan Police,Frost or ice,One way street,67,18:45,Rural,Fine no high winds,Car
A20210100013,14/01/2021,Thursday,Give way or uncontrolled,T or staggered junction,Moderate,51.430433,Daylight,Hammersmith and Fulham,None,-0.237571,3,2,Metropolitan Police,Snow,One way street,76,12:55,Rural,Storm,Motorcycle
A20210100014,15/01/2021,Friday,Give way or uncontrolled,T or staggered junction,Fatal,51.548219,Daylight,Westminster,None,-0.23339,3,4,Metropolitan Police,Frost or ice,Dual carriageway,86,17:05,Urban,Storm,Taxi/Private hire car
A20210100015,16/01/2021,Saturday,Auto traffic signal,Roundabout,Fatal,51.511455,Darkness - lights lit,Hammersmith and Fulham,None,-0.235233,3,3,Metropolitan Police,Wet or damp,Single carriageway,61,00:30,Suburban,Storm,Car
A20210100016,17/01/2021,Sunday,Stop sign,T or staggered junction,Fatal,51.409101,Darkness - lights lit,Kensington and Chelsea,None,-0.123785,3,1,Metropolitan Police,Dry,Motorway,107,01:00,Rural,Raining no high winds,Taxi/Private hire car
A20210100017,18/01/2021,Monday,Stop sign,Not at junction or within 20 metres,Moderate,51.490436,Daylight,Camden,None,-0.110447,3,2,Metropolitan Police,Snow,Dual carriageway,84,18:45,Urban,Storm,Taxi/Private hire car
A20210100018,19/01/2021,Tuesday,Stop sign,Not at junction or within 20 metres,Slight,51.559375,Daylight,Kensington and Chelsea,None,-0.173978,1,3,Metropolitan Police,Wet or damp,Roundabout,24,14:25,Urban,Fine no high winds,Bus
A20210100019,20/01/2021,Wednesday,Stop sign,Not at junction or within 20 metres,Moderate,51.401252,Darkness - lights lit,Camden,None,-0.110919,3,1,Metropolitan Police,Wet or damp,Single carriageway,76,05:35,Suburban,Snowing no high winds,Bus
A20210100020,21/01/2021,Thursday,Give way or uncontrolled,Not at junction or within 20 metres,Slight,51.501478,Daylight,Camden,None,-0.179135,1,3,Metropolitan Police,Dry,Dual carriageway,58,08:20,Urban,Fine no high winds,Car
A20210100021,22/01/2021,Friday,Auto traffic signal,Not at junction or within 20 metres,Moderate,51.512907,Daylight,Kensington and Chelsea,None,-0.2421,3,2,Metropolitan Police,Dry,One way street,78,10:10,Rural,Snowing no high winds,Bus
A20210100022,23/01/2021,Saturday,Stop sign,T or staggered junction,Slight,51.506709,Daylight,Camden,None,-0.135181,1,4,Metropolitan Police,Wet or damp,One way street,60,09:25,Rural,Fine no high winds,Taxi/Private hire car
A20210100023,24/01/2021,Sunday,Auto traffic signal,Not at junction or within 20 metres,Fatal,51.53825,Daylight,Westminster,None,-0.217311,3,1,Metropolitan Police,Frost or ice,Motorway,96,13:00,Suburban,Storm,Car
A20210100024,25/01/2021,Monday,Give way or uncontrolled,Not at junction or within 20 metres,Fatal,51.430901,Daylight,Camden,None,-0.215424,3,1,Metropolitan Police,Snow,Motorway,130,14:25,Suburban,Fine no high winds,Bus
A20210100025,26/01/2021,Tuesday,Auto traffic signal,T or staggered junction,Slight,51.492894,Daylight,Camden,None,-0.253879,1,4,Metropolitan Police,Snow,Residential street,34,17:25,Rural,Fine no high winds,Bus
A20210100026,27/01/2021,Wednesday,Auto traffic signal,T or staggered junction,Slight,51.483187,Daylight,Westminster,None,-0.201725,1,1,Metropolitan Police,Snow,One way street,36,18:15,Urban,Storm,Goods vehicle
A20210100027,28/01/2021,Thursday,Auto traffic signal,Not at junction or within 20 metres,Fatal,51.447305,Daylight,Westminster,None,-0.229306,3,4,Metropolitan Police,Wet or damp,Motorway,117,09:40,Urban,Snowing no high winds,Goods vehicle
A20210100028,01/01/2021,Friday,Stop sign,Roundabout,Fatal,51.474398,Daylight,Hammersmith and Fulham,None,-0.1519,3,4,Metropolitan Police,Wet or damp,Motorway,125,09:20,Rural,Fine no high winds,Car
A20210100029,02/01/2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.403908,Darkness - lights lit,Westminster,None,-0.10257,1,1,Metropolitan Police,Frost or ice,Roundabout,39,02:15,Urban,Raining no high winds,Motorcycle
A20210100030,03/01/2021,Sunday,Give way or uncontrolled,T or staggered junction,Fatal,51.524547,Daylight,Westminster,None,-0.231858,3,4,Metropolitan Police,Dry,Motorway,84,12:35,Suburban,Raining no high winds,Goods vehicle
A20210100031,04/01/2021,Monday,Auto traffic signal,Not at junction or within 20 metres,Moderate,51.530401,Daylight,Hammersmith and Fulham,None,-0.127109,3,4,Metropolitan Police,Wet or damp,Dual carriageway,80,14:50,Urban,Snowing no high winds,Motorcycle
A20210100032,05/01/2021,Tuesday,Auto traffic signal,T or staggered junction,Fatal,51.514167,Daylight,Westminster,None,-0.216526,3,3,Metropolitan Police,Dry,Motorway,115,08:40,Urban,Fog or mist,Taxi/Private hire car
A20210100033,06/01/2021,Wednesday,Stop sign,Roundabout,Slight,51.466524,Daylight,Westminster,None,-0.126737,1,4,Metropolitan Police,Dry,Single carriageway,46,06:05,Urban,Fine no high winds,Goods vehicle
A20210100034,07/01/2021,Thursday,Stop sign,Not at junction or within 20 metres,Slight,51.54365,Daylight,Hammersmith and Fulham,None,-0.224893,1,4,Metropolitan Police,Frost or ice,Single carriageway,54,12:30,Urban,Fine no high winds,Car
A20210100035,08/01/2021,Friday,Stop sign,T or staggered junction,Fatal,51.545109,Darkness - lights lit,Kensington and Chelsea,None,-0.246568,3,4,Metropolitan Police,Wet or damp,Motorway,83,23:10,Urban,Raining no high winds,Motorcycle
A20210100036,09/01/2021,Saturday,Auto traffic signal,Roundabout,Slight,51.520322,Daylight,Hammersmith and Fulham,None,-0.219637,1,1,Metropolitan Police,Frost or ice,Single carriageway,41,14:25,Urban,Fine no high winds,Car
A20210100037,10/01/2021,Sunday,Give way or uncontrolled,T or staggered junction,Slight,51.551938,Daylight,Westminster,None,-0.125723,1,2,Metropolitan Police,Wet or damp,Residential street,58,07:50,Rural,Fine no high winds,Taxi/Private hire car
A20210100038,11/01/2021,Monday,Give way or uncontrolled,Not at junction or within 20 metres,Slight,51.49716,Daylight,Kensington and Chelsea,None,-0.135553,1,2,Metropolitan Police,Snow,Residential street,36,14:55,Urban,Fine no high winds,Car
A20210100039,12/01/2021,Tuesday,Stop sign,T or staggered junction,Moderate,51.416304,Daylight,Camden,None,-0.123953,3,1,Metropolitan Police,Dry,Dual carriageway,82,12:30,Rural,Storm,Bus
A20210100040,13/01/2021,Wednesday,Auto traffic signal,T or staggered junction,Moderate,51.469364,Darkness - lights lit,Camden,None,-0.158306,3,4,Metropolitan Police,Wet or damp,One way street,57,20:25,Rural,Raining no high winds,Motorcycle
A20210100041,14/01/2021,Thursday,Stop sign,Not at junction or within 20 metres,Slight,51.442943,Darkness - lights lit,Westminster,None,-0.127083,1,1,Metropolitan Police,Snow,Roundabout,50,19:40,Urban,Raining no high winds,Motorcycle
A20210100042,15/01/2021,Friday,Auto traffic signal,T or staggered junction,Slight,51.478008,Daylight,Camden,None,-0.132347,1,3,Metropolitan Police,Snow,Roundabout,21,12:25,Urban,Raining no high winds,Goods vehicle
A20210100043,16/01/2021,Saturday,Stop sign,T or staggered junction,Slight,51.510497,Daylight,Hammersmith and Fulham,None,-0.188292,1,1,Metropolitan Police,Dry,One way street,68,06:05,Rural,Fine no high winds,Bus
A20210100044,17/01/2021,Sunday,Auto traffic signal,Roundabout,Slight,51.559461,Daylight,Camden,None,-0.20371,1,4,Metropolitan Police,Snow,Single carriageway,50,18:25,Urban,Raining no high winds,Bus
A20210100045,18/01/2021,Monday,Stop sign,T or staggered junction,Moderate,51.430647,Darkness - lights lit,Hammersmith and Fulham,None,-0.21576,3,3,Metropolitan Police,Dry,Single carriageway,54,03:55,Urban,Fine no high winds,Taxi/Private hire car
A20210100046,19/01/2021,Tuesday,Give way or uncontrolled,Not at junction or within 20 metres,Slight,51.446742,Darkness - lights lit,Westminster,None,-0.157941,1,4,Metropolitan Police,Dry,Single carriageway,28,22:40,Urban,Fine no high winds,Car
A20210100047,20/01/2021,Wednesday,Give way or uncontrolled,Roundabout,Moderate,51.478679,Darkness - lights lit,Kensington and Chelsea,None,-0.235724,3,3,Metropolitan Police,Dry,Dual carriageway,76,05:00,Rural,Raining no high winds,Taxi/Private hire car
A20210100048,21/01/2021,Thursday,Auto traffic signal,Roundabout,Slight,51.537627,Darkness - lights lit,Hammersmith and Fulham,None,-0.211139,1,1,Metropolitan Police,Dry,Roundabout,53,19:15,Urban,Fog or mist,Taxi/Private hire car
A20210100049,22/01/2021,Friday,Auto traffic signal,Roundabout,Slight,51.510299,Daylight,Hammersmith and Fulham,None,-0.213399,1,2,Metropolitan Police,Snow,One way street,67,07:10,Rural,Fine no high winds,Bus
A20210100050,23/01/2021,Saturday,Give way or uncontrolled,Roundabout,Moderate,51.418364,Daylight,Westminster,None,-0.156378,3,3,Metropolitan Police,Wet or damp,Roundabout,88,08:50,Rural,Raining no high winds,Car
A20210100051,24/01/2021,Sunday,Stop sign,Roundabout,Slight,51.511957,Daylight,Camden,None,-0.179924,1,4,Metropolitan Police,Frost or ice,Roundabout,48,18:20,Urban,Fog or mist,Car
A20210100052,25/01/2021,Monday,Stop sign,Not at junction or within 20 metres,Fatal,51.552126,Darkness - lights lit,Camden,None,-0.1678,3,2,Metropolitan Police,Frost or ice,Motorway,89,19:20,Rural,Snowing no high winds,Goods vehicle
A20210100053,26/01/2021,Tuesday,Give way or uncontrolled,Roundabout,Fatal,51.455674,Daylight,Camden,None,-0.208631,3,1,Metropolitan Police,Wet or damp,Single carriageway,96,18:30,Rural,Storm,Bus
A20210100054,27/01/2021,Wednesday,Auto traffic signal,Roundabout,Slight,51.451724,Daylight,Hammersmith and Fulham,None,-0.121614,1,1,Metropolitan Police,Frost or ice,Roundabout,22,12:40,Urban,Raining no high winds,Motorcycle
A20210100055,28/01/2021,Thursday,Give way or uncontrolled,Roundabout,Slight,51.487875,Daylight,Camden,None,-0.189901,1,4,Metropolitan Police,Dry,Roundabout,48,15:50,Urban,Raining no high winds,Car
A20210100056,01/01/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.558761,Darkness - lights lit,Kensington and Chelsea,None,-0.186168,1,1,Metropolitan Police,Wet or damp,Single carriageway,55,05:20,Suburban,Raining no high winds,Motorcycle
A20210100057,02/01/2021,Saturday,Give way or uncontrolled,Roundabout,Slight,51.430498,Daylight,Westminster,None,-0.121756,1,3,Metropolitan Police,Frost or ice,Roundabout,57,13:35,Suburban,Fine no high winds,Bus
A20210100058,03/01/2021,Sunday,Auto traffic signal,T or staggered junction,Fatal,51.471448,Daylight,Hammersmith and Fulham,None,-0.20478,3,4,Metropolitan Police,Frost or ice,Motorway,112,09:55,Suburban,Raining no high winds,Bus
A20210100059,04/01/2021,Monday,Auto traffic signal,Not at junction or within 20 metres,Moderate,51.546149,Daylight,Hammersmith and Fulham,None,-0.198227,3,2,Metropolitan Police,Frost or ice,Single carriageway,47,12:15,Suburban,Storm,Car
A20210100060,05/01/2021,Tuesday,Auto traffic signal,T or staggered junction,Moderate,51.515591,Darkness - lights lit,Hammersmith and Fulham,None,-0.120651,3,2,Metropolitan Police,Dry,Single carriageway,26,03:35,Urban,Storm,Motorcycle
A20210100061,06/01/2021,Wednesday,Stop sign,Not at junction or within 20 metres,Slight,51.460802,Daylight,Camden,None,-0.159712,1,4,Metropolitan Police,Dry,Roundabout,62,12:50,Rural,Fine no high winds,Goods vehicle
A20210100062,07/01/2021,Thursday,Give way or uncontrolled,Not at junction or within 20 metres,Slight,51.512623,Daylight,Kensington and Chelsea,None,-0.189011,1,3,Metropolitan Police,Dry,Residential street,25,07:55,Urban,Raining no high winds,Car
A20210100063,08/01/2021,Friday,Stop sign,Not at junction or within 20 metres,Slight,51.526803,Daylight,Westminster,None,-0.231989,1,4,Metropolitan Police,Wet or damp,Single carriageway,35,13:10,Urban,Fine no high winds,Motorcycle
A20210100064,09/01/2021,Saturday,Auto traffic signal,Roundabout,Slight,51.508418,Daylight,Westminster,None,-0.248182,1,3,Metropolitan Police,Snow,Dual carriageway,57,08:35,Suburban,Fine no high winds,Motorcycle
A20210100065,10/01/2021,Sunday,Auto traffic signal,Not at junction or within 20 metres,Slight,51.44734,Daylight,Camden,None,-0.25649,1,4,Metropolitan Police,Snow,Single carriageway,43,12:35,Rural,Raining no high winds,Car
A20210100066,11/01/2021,Monday,Give way or uncontrolled,Not at junction or within 20 metres,Fatal,51.528309,Darkness - lights lit,Westminster,None,-0.158141,3,3,Metropolitan Police,Wet or damp,Motorway,93,01:45,Rural,Raining no high winds,Car
A20210100067,12/01/2021,Tuesday,Give way or uncontrolled,Roundabout,Moderate,51.452275,Daylight,Hammersmith and Fulham,None,-0.231898,3,2,Metropolitan Police,Snow,Single carriageway,68,14:00,Suburban,Raining no high winds,Goods vehicle
A20210100068,13/01/2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.520664,Daylight,Westminster,None,-0.122378,1,4,Metropolitan Police,Snow,Single carriageway,76,15:20,Rural,Fine no high winds,Car
A20210100069,14/01/2021,Thursday,Auto traffic signal,T or staggered junction,Moderate,51.507974,Daylight,Hammersmith and Fulham,None,-0.255996,3,3,Metropolitan Police,Wet or damp,Dual carriageway,69,14:25,Rural,Fine no high winds,Car
A20210100070,15/01/2021,Friday,Give way or uncontrolled,Roundabout,Slight,51.559348,Darkness - lights lit,Kensington and Chelsea,None,-0.244449,1,2,Metropolitan Police,Frost or ice,Roundabout,41,20:30,Rural,Raining no high winds,Motorcycle
A20210100071,16/01/2021,Saturday,Give way or uncontrolled,Roundabout,Moderate,51.504788,Daylight,Hammersmith and Fulham,None,-0.161496,3,3,Metropolitan Police,Dry,Roundabout,57,17:30,Urban,Storm,Bus
A20210100072,17/01/2021,Sunday,Stop sign,Roundabout,Slight,51.409688,Daylight,Camden,None,-0.229631,1,1,Metropolitan Police,Frost or ice,Single carriageway,43,11:05,Urban,Raining no high winds,Car
A20210100073,18/01/2021,Monday,Stop sign,T or staggered junction,Moderate,51.410978,Darkness - lights lit,Westminster,None,-0.166179,3,2,Metropolitan Police,Snow,Roundabout,58,00:00,Rural,Raining no high winds,Taxi/Private hire car
A20210100074,19/01/2021,Tuesday,Give way or uncontrolled,Not at junction or within 20 metres,Moderate,51.538632,Darkness - lights lit,Westminster,None,-0.257622,3,2,Metropolitan Police,Snow,Single carriageway,72,04:10,Rural,Raining no high winds,Car
A20210100075,20/01/2021,Wednesday,Auto traffic signal,Not at junction or within 20 metres,Moderate,51.494987,Daylight,Hammersmith and Fulham,None,-0.179386,3,1,Metropolitan Police,Snow,Motorway,105,16:05,Urban,Fine no high winds,Motorcycle
A20210100076,21/01/2021,Thursday,Auto traffic signal,T or staggered junction,Slight,51.543883,Daylight,Camden,None,-0.162672,1,1,Metropolitan Police,Wet or damp,Residential street,51,12:30,Rural,Fine no high winds,Bus
A20210100077,22/01/2021,Friday,Auto traffic signal,T or staggered junction,Fatal,51.526895,Daylight,Kensington and Chelsea,None,-0.123553,3,2,Metropolitan Police,Frost or ice,Motorway,104,12:45,Rural,Raining no high winds,Motorcycle
A20210100078,23/01/2021,Saturday,Auto traffic signal,Roundabout,Moderate,51.552575,Daylight,Hammersmith and Fulham,None,-0.249259,3,1,Metropolitan Police,Dry,Motorway,102,12:30,Suburban,Fine no high winds,Motorcycle
A20210100079,24/01/2021,Sunday,Stop sign,T or staggered junction,Fatal,51.465729,Daylight,Hammersmith and Fulham,None,-0.121105,3,1,Metropolitan Police,Snow,Motorway,110,17:00,Urban,Fog or mist,Goods vehicle
A20210100080,25/01/2021,Monday,Auto traffic signal,Not at junction or within 20 metres,Moderate,51.45881,Darkness - lights lit,Camden,None,-0.168144,3,4,Metropolitan Police,Dry,Dual carriageway,59,04:50,Urban,Fine no high winds,Goods vehicle
A20210100081,26/01/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.490611,Darkness - lights lit,Hammersmith and Fulham,None,-0.248866,1,1,Metropolitan Police,Dry,Single carriageway,49,05:20,Suburban,Snowing no high winds,Goods vehicle
A20210100082,27/01/2021,Wednesday,Stop sign,Not at junction or within 20 metres,Slight,51.413593,Daylight,Kensington and Chelsea,None,-0.235107,1,1,Metropolitan Police,Dry,Single carriageway,40,11:20,Urban,Fine no high winds,Bus
A20210100083,28/01/2021,Thursday,Give way or uncontrolled,Roundabout,Slight,51.468786,Daylight,Camden,None,-0.151485,1,4,Metropolitan Police,Snow,Roundabout,33,13:20,Urban,Fine no high winds,Car
A20210100084,01/01/2021,Friday,Auto traffic signal,Roundabout,Slight,51.4525,Daylight,Kensington and Chelsea,None,-0.180418,1,4,Metropolitan Police,Wet or damp,One way street,33,06:20,Urban,Storm,Taxi/Private hire car
A20210100085,02/01/2021,Saturday,Give way or uncontrolled,Roundabout,Moderate,51.402999,Darkness - lights lit,Kensington and Chelsea,None,-0.122062,3,4,Metropolitan Police,Frost or ice,Dual carriageway,70,21:25,Urban,Raining no high winds,Motorcycle
A20210100086,03/01/2021,Sunday,Auto traffic signal,T or staggered junction,Slight,51.469874,Darkness - lights lit,Kensington and Chelsea,None,-0.221069,1,4,Metropolitan Police,Dry,Residential street,49,05:45,Urban,Fine no high winds,Motorcycle
A20210100087,04/01/2021,Monday,Stop sign,T or staggered junction,Moderate,51.544948,Darkness - lights lit,Camden,None,-0.203824,3,2,Metropolitan Police,Wet or damp,Single carriageway,72,05:05,Suburban,Fog or mist,Car
A20210100088,05/01/2021,Tuesday,Stop sign,Roundabout,Slight,51.474232,Darkness - lights lit,Hammersmith and Fulham,None,-0.151019,1,3,Metropolitan Police,Snow,Roundabout,31,20:05,Urban,Fine no high winds,Taxi/Private hire car
A20210100089,06/01/2021,Wednesday,Give way or uncontrolled,Roundabout,Slight,51.473879,Daylight,Kensington and Chelsea,None,-0.250898,1,3,Metropolitan Police,Dry,Roundabout,23,08:45,Urban,Raining no high winds,Car
A20210100090,07/01/2021,Thursday,Auto traffic signal,Not at junction or within 20 metres,Moderate,51.476101,Daylight,Westminster,None,-0.106764,3,4,Metropolitan Police,Dry,Dual carriageway,81,17:55,Rural,Raining no high winds,Bus
A20210100091,08/01/2021,Friday,Stop sign,T or staggered junction,Moderate,51.458224,Darkness - lights lit,Camden,None,-0.198013,3,3,Metropolitan Police,Dry,Roundabout,62,01:15,Suburban,Fine no high winds,Bus
A20210100092,09/01/2021,Saturday,Auto traffic signal,T or staggered junction,Slight,51.493238,Daylight,Westminster,None,-0.113321,1,3,Metropolitan Police,Frost or ice,Roundabout,58,09:20,Urban,Fine no high winds,Taxi/Private hire car
A20210100093,10/01/2021,Sunday,Stop sign,Not at junction or within 20 metres,Moderate,51.559546,Daylight,Kensington and Chelsea,None,-0.156636,3,4,Metropolitan Police,Snow,Single carriageway,77,12:50,Rural,Storm,Car
A20210100094,11/01/2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.447327,Daylight,Kensington and Chelsea,None,-0.17877,1,1,Metropolitan Police,Snow,Single carriageway,34,15:15,Urban,Fine no high winds,Goods vehicle
A20210100095,12/01/2021,Tuesday,Give way or uncontrolled,Roundabout,Slight,51.458288,Darkness - lights lit,Westminster,None,-0.104866,1,3,Metropolitan Police,Frost or ice,Single carriageway,30,22:45,Urban,Fine no high winds,Taxi/Private hire car
A20210100096,13/01/2021,Wednesday,Auto traffic signal,Roundabout,Fatal,51.5245,Daylight,Hammersmith and Fulham,None,-0.105397,3,2,Metropolitan Police,Wet or damp,Motorway,111,15:15,Rural,Fine no high winds,Bus
A20210100097,14/01/2021,Thursday,Auto traffic signal,T or staggered junction,Moderate,51.522099,Darkness - lights lit,Camden,None,-0.188109,3,2,Metropolitan Police,Frost or ice,Single carriageway,53,03:55,Urban,Raining no high winds,Car
A20210100098,15/01/2021,Friday,Give way or uncontrolled,Roundabout,Slight,51.559124,Daylight,Camden,None,-0.224074,1,3,Metropolitan Police,Dry,Dual carriageway,70,11:00,Suburban,Fine no high winds,Bus
A20210100099,16/01/2021,Saturday,Auto traffic signal,Not at junction or within 20 metres,Slight,51.40084,Daylight,Kensington and Chelsea,None,-0.256959,1,2,Metropolitan Police,Wet or damp,Single carriageway,62,15:55,Rural,Fine no high winds,Goods vehicle
A20210100100,17/01/2021,Sunday,Stop sign,Not at junction or within 20 metres,Slight,51.473138,Daylight,Kensington and Chelsea,None,-0.12613,1,4,Metropolitan Police,Dry,Dual carriageway,48,09:15,Suburban,Raining no high winds,Goods vehicle
A20210100101,18/01/2021,Monday,Give way or uncontrolled,Not at junction or within 20 metres,Moderate,51.506914,Darkness - lights lit,Camden,None,-0.249171,3,1,Metropolitan Police,Frost or ice,Single carriageway,59,00:45,Rural,Fog or mist,Motorcycle
A20210100102,19/01/2021,Tuesday,Auto traffic signal,T or staggered junction,Slight,51.517271,Darkness - lights lit,Kensington and Chelsea,None,-0.13656,1,3,Metropolitan Police,Wet or damp,Single carriageway,42,23:00,Urban,Fine no high winds,Car
A20210100103,20/01/2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.514567,Darkness - lights lit,Hammersmith and Fulham,None,-0.254083,1,2,Metropolitan Police,Dry,Roundabout,50,21:35,Urban,Fine no high winds,Taxi/Private hire car
A20210100104,21/01/2021,Thursday,Stop sign,T or staggered junction,Slight,51.445778,Daylight,Kensington and Chelsea,None,-0.121472,1,3,Metropolitan Police,Snow,Single carriageway,58,12:40,Suburban,Fine no high winds,Car
A20210100105,22/01/2021,Friday,Auto traffic signal,Roundabout,Moderate,51.54789,Daylight,Camden,None,-0.131816,3,4,Metropolitan Police,Dry,Single carriageway,56,14:30,Rural,Raining no high winds,Motorcycle
A20210100106,23/01/2021,Saturday,Auto traffic signal,Not at junction or within 20 metres,Moderate,51.514826,Daylight,Westminster,None,-0.149638,3,3,Metropolitan Police,Frost or ice,Dual carriageway,87,10:05,Rural,Snowing no high winds,Car
A20210100107,24/01/2021,Sunday,Give way or uncontrolled,Not at junction or within 20 metres,Fatal,51.502002,Daylight,Camden,None,-0.177906,3,2,Metropolitan Police,Dry,Roundabout,95,13:20,Rural,Storm,Taxi/Private hire car
A20210100108,25/01/2021,Monday,Auto traffic signal,Not at junction or within 20 metres,Moderate,51.405182,Darkness - lights lit,Westminster,None,-0.15135,3,3,Metropolitan Police,Snow,Dual carriageway,86,04:05,Suburban,Raining no high winds,Motorcycle
A20210100109,26/01/2021,Tuesday,Give way or uncontrolled,Roundabout,Slight,51.482839,Daylight,Kensington and Chelsea,None,-0.218116,1,3,Metropolitan Police,Frost or ice,Dual carriageway,54,12:25,Rural,Raining no high winds,Taxi/Private hire car
A20210100110,27/01/2021,Wednesday,Auto traffic signal,T or staggered junction,Slight,51.543789,Daylight,Hammersmith and Fulham,None,-0.100438,1,3,Metropolitan Police,Snow,Residential street,31,15:15,Suburban,Fine no high winds,Car
A20210100111,28/01/2021,Thursday,Stop sign,T or staggered junction,Moderate,51.419418,Darkness - lights lit,Westminster,None,-0.133269,3,2,Metropolitan Police,Frost or ice,Single carriageway,75,05:55,Rural,Fine no high winds,Car
A20210100112,01/01/2021,Friday,Auto traffic signal,Not at junction or within 20 metres,Slight,51.515019,Daylight,Hammersmith and Fulham,None,-0.136934,1,1,Metropolitan Police,Wet or damp,Dual carriageway,59,17:10,Urban,Raining no high winds,Bus
A20210100113,02/01/2021,Saturday,Give way or uncontrolled,Roundabout,Moderate,51.480458,Daylight,Kensington and Chelsea,None,-0.126977,3,2,Metropolitan Police,Snow,Roundabout,85,11:10,Rural,Raining no high winds,Taxi/Private hire car
A20210100114,03/01/2021,Sunday,Stop sign,Not at junction or within 20 metres,Slight,51.443912,Daylight,Camden,None,-0.161691,1,1,Metropolitan Police,Wet or damp,Single carriageway,25,16:20,Urban,Storm,Goods vehicle
A20210100115,04/01/2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.407274,Darkness - lights lit,Camden,None,-0.155819,1,4,Metropolitan Police,Dry,Roundabout,59,23:45,Suburban,Fine no high winds,Motorcycle
A20210100116,05/01/2021,Tuesday,Auto traffic signal,Roundabout,Moderate,51.472567,Daylight,Kensington and Chelsea,None,-0.234707,3,4,Metropolitan Police,Frost or ice,Roundabout,60,09:35,Suburban,Raining no high winds,Motorcycle
